flightID,airportFrom,airportTo,aircraftID,departureDate,departureTime,departureGate,arrivalGate,duration,arrivalDate,arrivalTime
101,JFK,LAX,101,2024-10-25,08:00,A1,B2,6.5,2024-10-25,14:30
201,LAX,ORD,102,2024-10-26,09:30,C3,D4,4.5,2024-10-26,15:00
301,ORD,ATL,103,2024-10-27,10:15,E5,F6,1.5,2024-10-27,11:45
401,ATL,DFW,104,2024-10-28,11:45,G7,H8,2.5,2024-10-28,14:15
501,DFW,DEN,105,2024-10-29,12:30,I9,J10,1.75,2024-10-29,14:15
601,DEN,SEA,106,2024-10-30,13:00,K1,L2,3.0,2024-10-30,16:00
701,SEA,SFO,107,2024-10-31,14:00,M3,N4,1.0,2024-10-31,15:00
801,SFO,LAS,108,2024-11-01,15:00,O5,P6,1.5,2024-11-01,16:30
901,LAS,MIA,109,2024-11-02,16:00,Q7,R8,5.0,2024-11-02,23:00
1001,MIA,BOS,110,2024-11-03,17:00,S9,T10,3.5,2024-11-03,20:30
1101,BOS,PHX,111,2024-11-04,18:00,U1,V2,4.0,2024-11-04,22:00
1201,PHX,IAH,112,2024-11-05,19:00,W3,X4,2.0,2024-11-05,21:00
1301,IAH,CLT,113,2024-11-06,20:00,Y5,Z6,1.25,2024-11-06,21:15
1401,CLT,SLC,114,2024-11-07,21:00,A7,B8,5.0,2024-11-08,02:00
1501,SLC,PDX,115,2024-11-08,22:00,C9,D10,2.75,2024-11-09,00:45
1601,PDX,HNL,116,2024-11-09,07:30,E1,F2,6.0,2024-11-09,13:30
1701,HNL,BWI,117,2024-11-10,08:45,G3,H4,6.5,2024-11-10,15:15
1801,BWI,MCO,118,2024-11-11,09:15,I5,J6,1.5,2024-11-11,10:45
1901,MCO,FLL,119,2024-11-12,10:00,K7,L8,1.0,2024-11-12,11:00
2001,FLL,JFK,120,2024-11-13,10:30,M9,N10,2.5,2024-11-13,13:00
