user_id,flightID,booking_date,price
14,1401,2024-11-08,120.0
6,601,2024-10-30,75.0
20,2001,2024-11-14,165.0
4,401,2024-10-28,180.0
13,1301,2024-11-07,135.0
17,1701,2024-11-11,75.0
11,1101,2024-11-05,165.0
9,901,2024-11-03,225.0
2,201,2024-10-26,150.0
15,1501,2024-11-09,180.0
1,101,2024-10-25,120.0
3,301,2024-10-27,90.0
18,1801,2024-11-12,105.0
10,1001,2024-11-04,105.0
12,1201,2024-11-06,195.0
16,1601,2024-11-10,240.0
7,701,2024-11-01,135.0
8,801,2024-11-02,195.0
5,501,2024-10-29,210.0
19,1901,2024-11-13,135.0
